iter	Passed	Remaining
585	9559	6753
586	9578	6739
587	9593	6721
588	9606	6703
589	9619	6684
590	9635	6667
591	9649	6650
592	9664	6633
593	9677	6614
594	9693	6597
595	9707	6579
596	9722	6562
597	9736	6545
598	9750	6527
599	9764	6509
600	9779	6492
601	9797	6477
602	9813	6461
603	9835	6448
604	9849	6430
605	9867	6415
606	9898	6408
607	9918	6394
608	9949	6388
609	9966	6371
610	9983	6355
611	10003	6341
612	10020	6325
613	10037	6310
614	10078	6309
615	10099	6295
616	10115	6278
617	10130	6262
618	10148	6246
619	10170	6233
620	10186	6217
621	10202	6200
622	10216	6182
623	10236	6168
624	10259	6155
625	10277	6140
626	10294	6124
627	10310	6107
628	10324	6089
629	10337	6070
630	10353	6054
631	10371	6039
632	10385	6021
633	10402	6004
634	10422	5991
635	10438	5974
636	10452	5956
637	10467	5938
638	10482	5922
639	10498	5905
640	10513	5888
641	10532	5872
642	10546	5855
643	10562	5839
644	10579	5822
645	10595	5806
646	10614	5791
647	10627	5773
648	10641	5755
649	10656	5738
650	10676	5723
651	10692	5707
652	10708	5690
653	10724	5673
654	10737	5655
655	10754	5639
656	10771	5623
657	10784	5605
658	10796	5586
659	10857	5593
660	10940	5610
661	10989	5611
662	11018	5600
663	11053	5593
664	11068	5576
665	11085	5559
666	11101	5542
667	11118	5525
668	11135	5509
669	11149	5491
670	11159	5471
671	11174	5454
672	11191	5437
673	11207	5420
674	11222	5403
675	11238	5386
676	11253	5369
677	11268	5351
678	11283	5334
679	11298	5316
680	11312	5299
681	11326	5281
682	11339	5262
683	11353	5245
684	11369	5228
685	11383	5210
686	11396	5192
687	11414	5176
688	11432	5160
689	11447	5142
690	11458	5124
691	11475	5107
692	11493	5091
693	11506	5073
694	11521	5056
695	11537	5039
696	11555	5023
697	11569	5005
698	11582	4987
699	11594	4969
700	11609	4951
701	11624	4934
702	11639	4917
703	11659	4902
704	11670	4883
705	11684	4865
706	11698	4848
707	11712	4830
708	11728	4813
709	11747	4798
710	11762	4781
711	11777	4764
712	11794	4747
713	11809	4730
714	11825	4713
715	11839	4695
716	11851	4677
717	11867	4661
718	11884	4644
719	11896	4626
720	11916	4611
721	11932	4594
722	11947	4577
723	11963	4560
724	11980	4544
725	11998	4528
726	12014	4511
727	12030	4495
728	12046	4478
729	12060	4460
730	12074	4443
731	12093	4427
732	12107	4410
733	12123	4393
734	12141	4377
735	12157	4360
736	12171	4343
737	12185	4325
738	12197	4308
739	12214	4291
740	12229	4274
741	12243	4257
742	12259	4240
743	12276	4224
744	12288	4206
745	12305	4189
746	12321	4173
747	12339	4157
748	12355	4140
749	12371	4123
750	12387	4107
751	12403	4090
752	12419	4073
753	12433	4056
754	12450	4040
755	12466	4023
756	12481	4006
757	12494	3988
758	12507	3971
759	12520	3953
760	12538	3937
761	12553	3920
762	12567	3903
763	12583	3887
764	12599	3870
765	12612	3852
766	12624	3835
767	12639	3818
768	12656	3801
769	12670	3784
770	12684	3767
771	12697	3749
772	12715	3734
773	12737	3719
774	12751	3702
775	12765	3684
776	12780	3667
777	12796	3651
778	12812	3634
779	12826	3617
780	12842	3601
781	12855	3583
782	12867	3566
783	12883	3549
784	12897	3532
785	12912	3515
786	12931	3499
787	12946	3483
788	12959	3465
789	12973	3448
790	12985	3431
791	13000	3414
792	13012	3396
793	13028	3380
794	13042	3363
795	13056	3346
796	13067	3328
797	13079	3310
798	13094	3294
799	13111	3277
800	13125	3261
801	13142	3244
802	13159	3228
803	13175	3211
804	13192	3195
805	13207	3178
806	13220	3161
807	13231	3144
808	13246	3127
809	13261	3110
810	13276	3093
811	13291	3077
812	13306	3060
